kind,lat,lon
street_lamp,28.6880354,77.2110845
street_lamp,28.6883316,77.2122737
street_lamp,28.6882588,77.2103145
street_lamp,28.6883162,77.2103714
street_lamp,28.6882052,77.2106549
street_lamp,28.6882681,77.2105128
street_lamp,28.6881185,77.2106976
street_lamp,28.6885856,77.2097742
street_lamp,28.6881507,77.2107854
street_lamp,28.6879387,77.2119766
street_lamp,28.6877656,77.2120092
street_lamp,28.688432,77.2100718
street_lamp,28.6881968,77.2104342
street_lamp,28.6881675,77.2105735
street_lamp,28.6880982,77.2120559
street_lamp,28.6885032,77.2123595
street_lamp,28.6881036,77.2109155
street_lamp,28.6886725,77.2124394
street_lamp,28.6879841,77.2120991
street_lamp,28.6881281,77.2121694
street_lamp,28.6884499,77.2122391
street_lamp,28.688616,77.2123177
street_lamp,28.6892794,77.212072
street_lamp,28.6890727,77.2114971
street_lamp,28.6888275,77.2125167
street_lamp,28.6891146,77.2125389
street_lamp,28.7003423,77.1404795
street_lamp,28.6896115,77.2116711
street_lamp,28.6892749,77.2126213
street_lamp,28.6898046,77.2122417
street_lamp,28.6902367,77.2120798
street_lamp,28.6901448,77.2123532
street_lamp,28.6900509,77.2125906
street_lamp,28.6899284,77.2119432
street_lamp,28.6894388,77.2127062
street_lamp,28.689613,77.2127267
street_lamp,28.6897108,77.2124765
street_lamp,28.6904389,77.2105666
street_lamp,28.6896454,77.2129051
street_lamp,28.6899487,77.2124068
street_lamp,28.689591,77.2122283
street_lamp,28.6899292,77.2128845
street_lamp,28.689707,77.2107869
street_lamp,28.692005,77.211322
street_lamp,28.6897549,77.2128571
street_lamp,28.690128,77.2103079
street_lamp,28.6899131,77.2101965
street_lamp,28.6898091,77.2129991
street_lamp,28.6912695,77.2108333
street_lamp,28.6925664,77.2115899
street_lamp,28.6898882,77.2129182
street_lamp,28.6895595,77.2127688
street_lamp,28.6922777,77.2113455
street_lamp,28.69134,77.2109878
street_lamp,28.6930036,77.2117044
street_lamp,28.6950177,77.2126848
street_lamp,28.6897943,77.210578
street_lamp,28.6897217,77.2114866
street_lamp,28.6897543,77.2106653
street_lamp,28.6902201,77.2104543
street_lamp,28.6917264,77.2111808
street_lamp,28.6909658,77.210818
street_lamp,28.6898037,77.2102618
street_lamp,28.6906849,77.210684
street_lamp,28.6906098,77.2105283
street_lamp,28.6921568,77.2114076
street_lamp,28.6914981,77.2109579
street_lamp,28.6919666,77.211192
street_lamp,28.6931493,77.2117688
street_lamp,28.6945918,77.2124706
street_lamp,28.695491,77.2133495
street_lamp,28.6903209,77.210398
street_lamp,28.6941858,77.2122662
street_lamp,28.6911353,77.2108951
street_lamp,28.690505,77.2104779
street_lamp,28.6933922,77.2118783
street_lamp,28.6923523,77.2114936
street_lamp,28.6927519,77.2116891
street_lamp,28.6948221,77.212584
street_lamp,28.6926302,77.2115265
street_lamp,28.6939764,77.2121661
street_lamp,28.6921217,77.2112602
street_lamp,28.6911073,77.210768
street_lamp,28.692463,77.2114506
street_lamp,28.6940341,77.2123343
street_lamp,28.6915378,77.2110928
street_lamp,28.6917572,77.2110919
street_lamp,28.6929889,77.2118017
street_lamp,28.6933851,77.2120068
street_lamp,28.6954924,77.2129074
street_lamp,28.6935811,77.2119745
street_lamp,28.6928359,77.2116231
street_lamp,28.6944516,77.2125326
street_lamp,28.6942563,77.2124367
street_lamp,28.6937916,77.2120776
street_lamp,28.6946695,77.2126459
street_lamp,28.69544,77.2134605
street_lamp,28.6920767,77.2141824
street_lamp,28.6920351,77.2138912
street_lamp,28.6914247,77.2138679
street_lamp,28.690293,77.213237
street_lamp,28.6926868,77.2147324
street_lamp,28.6949629,77.2150464
street_lamp,28.6923087,77.2143679
street_lamp,28.6923435,77.2145659
street_lamp,28.6910897,77.2132926
street_lamp,28.6925143,77.2146473
street_lamp,28.6908709,77.2137236
street_lamp,28.6917683,77.2137609
street_lamp,28.6904586,77.2132345
street_lamp,28.6930392,77.2149082
street_lamp,28.6916741,77.2139891
street_lamp,28.690719,77.2133545
street_lamp,28.6919544,77.2141243
street_lamp,28.6918145,77.2140549
street_lamp,28.6912386,77.2134334
street_lamp,28.6915194,77.2136443
street_lamp,28.6899666,77.2130858
street_lamp,28.6912831,77.213742
street_lamp,28.6918954,77.2138144
street_lamp,28.6908132,77.2135374
