area_code,grid_row,grid_col,street_lamp_count,cctv_count,activity_count,footway_km,lit_yes_km,lit_tagged_km,streetlight_density,cctv_coverage,activity_density,footpath_quality,lit_share_score,lighting_score,crowd_density,osm_coverage,osm_evidence,infra_score
AREA-04-23,4,23,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-24,4,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-25,4,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-26,4,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-27,4,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-28,4,28,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-29,4,29,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-30,4,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-31,4,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-32,4,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-33,4,33,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-04-34,4,34,1,0,9,0.0,0.0,0.0,0.1439,0.0,0.5141,0.0,0.7238,0.6832,0.5141,0.6208,10.0,0.1439
AREA-04-35,4,35,0,0,1,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.7238,0.7238,0.1294,0.1794,1.0,0.5
AREA-04-36,4,36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-37,4,37,0,0,3,0.0,0.0,0.0,0.0,0.0,0.2843,0.0,0.7238,0.7238,0.2843,0.3589,3.0,0.5
AREA-04-38,4,38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
AREA-04-39,4,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7238,0.7238,0.0,0.0,0.0,0.5
